pseudotime_bin,pseudotime_center,program,mean_score,sem,n_cells
3,0.07049442,apoptosis,-0.002990787031272831,0.003998345727220018,374
3,0.07049442,senescence,-0.02589085971521342,0.004848044003422948,374
4,0.090683304,AT2_identity,0.24466758742713565,0.022838295857588762,565
4,0.090683304,AT1_identity,0.0054322914207744245,0.009547667284030427,565
4,0.090683304,interferon_response,-0.0479133584826594,0.0027597102102445434,565
4,0.090683304,nfkb_inflammatory,0.03034392308295077,0.007734545529771542,565
4,0.090683304,oxidative_stress,-0.04983414330776485,0.006706531693182358,565
4,0.090683304,AT2_to_AT1_differentiation,-0.02625203748972948,0.00868395303947247,565
4,0.090683304,apoptosis,-0.016667389726526427,0.0025925022878775413,565
4,0.090683304,senescence,-0.025513516620678803,0.004165471739282659,565
5,0.11027407,AT2_identity,0.31553521576594473,0.017267890386228512,955
5,0.11027407,AT1_identity,0.00375873126350947,0.006963087235641445,955
5,0.11027407,interferon_response,-0.05140597899648486,0.0020097522719152534,955
5,0.11027407,nfkb_inflammatory,0.003335675641493401,0.005780483006852398,955
5,0.11027407,oxidative_stress,-0.06560134034199869,0.005134703225764223,955
5,0.11027407,AT2_to_AT1_differentiation,-0.03617316059515869,0.0066868149005404895,955
5,0.11027407,apoptosis,-0.007028445240219435,0.00255177971773759,955
5,0.11027407,senescence,-0.016853883483993585,0.0035477725326833135,955
6,0.12953378,AT2_identity,0.438993056593113,0.017053682690358694,1203
6,0.12953378,AT1_identity,-0.011243726550046393,0.0058712970318782025,1203
6,0.12953378,interferon_response,-0.04962574296074481,0.002007318357999535,1203
6,0.12953378,nfkb_inflammatory,0.01142356475483945,0.005302577952124142,1203
6,0.12953378,oxidative_stress,-0.0600015458954127,0.004490659390411008,1203
6,0.12953378,AT2_to_AT1_differentiation,-0.038193650919189914,0.00581768668091464,1203
6,0.12953378,apoptosis,-0.0064143427843815414,0.002285446543687862,1203
6,0.12953378,senescence,-0.026842317147375328,0.0029887922805331107,1203
7,0.14974168,AT2_identity,0.43339458572061473,0.02042363848287545,1036
7,0.14974168,AT1_identity,-0.007954516171255688,0.006645752582907748,1036
7,0.14974168,interferon_response,-0.0505963361856204,0.0022142773523526962,1036
7,0.14974168,nfkb_inflammatory,0.031758907416056886,0.0060364740843067985,1036
7,0.14974168,oxidative_stress,-0.04520296084058617,0.005066582628724802,1036
7,0.14974168,AT2_to_AT1_differentiation,-0.02358388455935717,0.006674816720991434,1036
7,0.14974168,apoptosis,-0.004729984084438986,0.002449141931202649,1036
7,0.14974168,senescence,-0.02535730719111743,0.0032243604382471485,1036
8,0.1695747,AT2_identity,0.30452617950218847,0.02153151154725471,877
8,0.1695747,AT1_identity,-0.013981592341471331,0.006780466396603566,877
8,0.1695747,interferon_response,-0.042989148223610434,0.002987706645150414,877
8,0.1695747,nfkb_inflammatory,0.064053721113705,0.00703957962659045,877
8,0.1695747,oxidative_stress,-0.02661735166936158,0.005702971345605258,877
8,0.1695747,AT2_to_AT1_differentiation,-0.01362925195700764,0.007096450468861592,877
8,0.1695747,apoptosis,-0.010522536722711683,0.002421483311767914,877
8,0.1695747,senescence,-0.02032967179291905,0.0036780848420770247,877
9,0.18965375,AT2_identity,0.21688323875964224,0.021171962212783387,881
9,0.18965375,AT1_identity,-0.02914533043475719,0.007024836765772799,881
9,0.18965375,interferon_response,-0.026052060011137503,0.003664081845051627,881
9,0.18965375,nfkb_inflammatory,0.05510829976401355,0.007428411198072775,881
9,0.18965375,oxidative_stress,-0.02684154343329963,0.005738207708403278,881
9,0.18965375,AT2_to_AT1_differentiation,-0.03385454458955237,0.00682302493856523,881
9,0.18965375,apoptosis,-0.0025805281526819013,0.002755696638333667,881
9,0.18965375,senescence,-0.017650066463898058,0.003730669237500872,881
10,0.20993482,AT2_identity,0.2806237873981487,0.022895733488742465,733
10,0.20993482,AT1_identity,-0.014426306809631048,0.007923489788980583,733
10,0.20993482,interferon_response,-0.02066543035999584,0.004909940091938647,733
10,0.20993482,nfkb_inflammatory,0.03635068182039339,0.007372778796834065,733
10,0.20993482,oxidative_stress,-0.02201333425938117,0.006343710467105566,733
10,0.20993482,AT2_to_AT1_differentiation,-0.028637563173689796,0.0077870356401709825,733
10,0.20993482,apoptosis,0.003906072941186985,0.003385350304473278,733
10,0.20993482,senescence,-0.02495362684659804,0.003968665846163863,733
11,0.2295125,AT2_identity,0.35393581191849044,0.02437310593660209,709
11,0.2295125,AT1_identity,-0.015456236658882783,0.007896473251540076,709
